date,open,close,high,low,volume
2023-09-18,125.693,127.023,127.803,124.773,43292.0
2023-09-19,126.743,125.943,126.853,124.503,52610.0
2023-09-20,125.543,125.303,125.973,125.023,24496.0
2023-09-21,125.293,122.573,125.293,122.393,49768.0
2023-09-22,122.403,124.493,124.613,122.403,48351.0
2023-09-25,124.483,123.133,124.493,122.923,41086.0
2023-09-26,123.293,122.053,124.043,121.253,36635.0
2023-09-27,122.093,121.173,123.493,121.073,51476.0
2023-09-28,121.473,120.093,121.823,119.813,46676.0
2023-10-09,120.093,119.083,120.093,117.353,48906.0
2023-10-10,120.543,116.983,120.543,116.863,56761.0
2023-10-11,118.493,116.773,118.493,116.293,43724.0
2023-10-12,117.943,117.013,118.073,116.723,41278.0
2023-10-13,116.333,112.563,116.333,111.353,100148.0
2023-10-16,112.713,109.723,112.923,109.523,66949.0
2023-10-17,110.193,109.813,110.473,108.863,39971.0
2023-10-18,109.693,109.693,111.203,109.193,33170.0
2023-10-19,109.293,106.723,109.293,106.303,64172.0
2023-10-20,106.263,105.713,108.003,105.193,52110.0
2023-10-23,105.673,105.823,107.683,104.923,37717.0
2023-10-24,106.293,107.143,108.073,105.593,40559.0
2023-10-25,109.643,109.393,110.893,108.583,55250.0
2023-10-26,108.593,110.533,110.693,108.393,32826.0
2023-10-27,110.063,112.633,113.183,109.953,46218.0
2023-10-30,112.613,113.393,113.973,110.973,41013.0
2023-10-31,113.423,112.793,113.663,111.893,38537.0
2023-11-01,117.693,112.593,118.373,112.493,71277.0
2023-11-02,112.193,110.603,113.183,110.353,49914.0
2023-11-03,110.493,111.803,112.443,110.203,32687.0
2023-11-06,112.693,112.393,112.913,110.793,40641.0
2023-11-07,111.993,111.873,112.573,111.363,24346.0
2023-11-08,111.533,111.353,112.333,110.703,29220.0
2023-11-09,111.393,111.993,112.453,111.253,26182.0
2023-11-10,111.393,109.943,111.983,109.643,33917.0
2023-11-13,109.973,109.703,110.573,108.813,28414.0
2023-11-14,109.543,109.353,110.993,108.703,34913.0
2023-11-15,110.203,109.463,110.643,109.073,42169.0
2023-11-16,109.373,107.993,109.473,107.493,42457.0
2023-11-17,107.493,107.063,108.083,106.693,34053.0
2023-11-20,107.223,107.893,108.323,106.383,36074.0
2023-11-21,108.393,110.303,110.843,107.913,62005.0
2023-11-22,109.863,109.613,110.353,108.983,27713.0
2023-11-23,109.603,109.413,109.603,108.533,25915.0
2023-11-24,109.043,108.993,109.863,108.693,25910.0
2023-11-27,108.693,107.193,108.943,106.473,33735.0
2023-11-28,107.423,107.183,108.043,106.413,29753.0
2023-11-29,107.023,106.323,107.433,105.853,30830.0
2023-11-30,106.573,107.323,107.973,106.173,33244.0
2023-12-01,107.323,106.593,107.593,105.493,41737.0
2023-12-04,106.983,105.503,106.993,105.473,34377.0
2023-12-05,105.383,102.243,105.523,101.913,46842.0
2023-12-06,102.263,103.393,104.593,101.693,41897.0
2023-12-07,103.503,103.583,103.943,101.893,31527.0
2023-12-08,103.593,102.393,104.323,102.223,46296.0
2023-12-11,101.163,102.693,102.793,99.313,62750.0
2023-12-12,102.373,104.053,104.193,102.073,33232.0
2023-12-13,103.693,99.993,103.693,99.693,63519.0
2023-12-14,100.503,97.753,101.073,97.253,51647.0
2023-12-15,97.893,98.043,100.003,97.593,45041.0
2023-12-18,97.693,98.313,98.653,96.433,28007.0
2023-12-19,98.303,98.003,98.903,97.363,25511.0
2023-12-20,98.493,97.593,98.693,97.423,25106.0
2023-12-21,97.193,98.523,99.053,97.053,42579.0
2023-12-22,98.553,97.513,98.923,97.243,47460.0
2023-12-25,97.293,98.083,98.453,97.193,21803.0
2023-12-26,97.903,96.723,98.073,96.493,22478.0
2023-12-27,96.693,95.953,96.903,95.293,39207.0
2023-12-28,96.183,101.073,101.633,95.813,72500.0
2023-12-29,101.263,100.593,101.843,99.703,37031.0
2024-01-02,100.593,96.933,100.663,96.813,49176.0
2024-01-03,96.933,96.583,97.743,95.713,35237.0
2024-01-04,96.543,93.083,96.543,92.703,65150.0
2024-01-05,92.743,92.393,93.353,91.693,45502.0
2024-01-08,92.393,90.713,92.493,90.303,46955.0
2024-01-09,90.923,91.043,92.023,90.453,43517.0
2024-01-10,90.713,90.943,92.083,89.563,39954.0
2024-01-11,90.393,91.023,91.793,89.873,47421.0
2024-01-12,90.353,88.853,90.493,88.353,63582.0
2024-01-15,88.573,87.483,88.833,87.363,58599.0
2024-01-16,86.983,87.953,88.083,86.293,52989.0
2024-01-17,87.673,85.023,87.693,85.023,50698.0
2024-01-18,84.733,87.893,88.183,84.653,76866.0
2024-01-19,87.173,87.313,88.323,86.573,54387.0
2024-01-22,87.223,85.483,87.293,84.703,59659.0
2024-01-23,85.163,85.063,86.073,83.903,68800.0
2024-01-24,85.973,85.533,86.143,83.213,64029.0
2024-01-25,85.193,86.893,87.573,84.793,83237.0
2024-01-26,86.693,85.523,87.613,84.823,84291.0
2024-01-29,85.693,86.423,88.343,85.693,86205.0
2024-01-30,85.783,83.293,85.783,83.293,67146.0
2024-01-31,83.183,82.003,83.633,80.893,63816.0
2024-02-01,81.783,81.893,82.993,81.103,49071.0
2024-02-02,82.213,81.443,83.533,78.993,74067.0
2024-02-05,80.493,82.863,83.613,79.493,86259.0
2024-02-06,82.493,87.213,87.543,82.193,93147.0
2024-02-07,87.363,88.793,88.793,86.453,96210.0
2024-02-08,88.913,89.193,90.493,87.903,69342.0
2024-02-19,90.603,88.693,91.073,87.903,69884.0
2024-02-20,88.693,87.983,89.173,86.893,44577.0
2024-02-21,87.693,92.373,93.693,87.213,88610.0
2024-02-22,91.893,92.993,93.193,91.143,47155.0
2024-02-23,93.043,92.483,94.143,91.843,46508.0
2024-02-26,92.453,90.993,92.923,90.633,40804.0
2024-02-27,90.893,91.073,91.173,90.373,46345.0
2024-02-28,90.923,90.083,92.023,90.083,50565.0
2024-02-29,89.773,91.693,91.693,89.493,44820.0
2024-03-01,91.293,91.813,92.373,90.893,39622.0
2024-03-04,91.653,90.113,91.653,89.713,46226.0
2024-03-05,89.693,91.333,91.573,89.463,48056.0
2024-03-06,91.093,90.103,91.273,89.913,33877.0
2024-03-07,90.233,89.993,91.313,89.993,38053.0
2024-03-08,90.093,89.673,90.873,88.883,30490.0
2024-03-11,89.723,92.093,92.523,89.723,55949.0
2024-03-12,92.313,96.943,97.113,91.793,97784.0
2024-03-13,96.423,95.773,97.343,95.223,48804.0
2024-03-14,95.093,95.693,97.173,95.093,40742.0
2024-03-15,95.023,93.933,97.183,93.703,87226.0
