date,open,close,high,low,volume
2023-10-30,10.587,10.367,10.647,10.057,788726.0
2023-10-31,10.367,10.527,10.677,10.337,524415.0
2023-11-01,10.507,10.487,10.607,10.417,319018.0
2023-11-02,10.437,10.347,10.587,10.327,366628.0
2023-11-03,10.367,10.257,10.447,10.197,338878.0
2023-11-06,10.277,10.537,10.677,10.237,528675.0
2023-11-07,10.587,10.467,10.737,10.377,399084.0
2023-11-08,10.417,10.567,10.697,10.387,334727.0
2023-11-09,10.597,10.567,10.727,10.507,356527.0
2023-11-10,10.517,10.367,10.547,10.287,272696.0
2023-11-13,10.337,10.367,10.417,10.197,271692.0
2023-11-14,10.357,10.467,10.587,10.347,341390.0
2023-11-15,10.587,10.297,10.617,10.247,535477.0
2023-11-16,10.257,10.267,10.347,9.967,448778.0
2023-11-17,10.207,10.287,10.337,10.137,240652.0
2023-11-20,10.307,10.137,10.357,10.107,405880.0
2023-11-21,10.217,10.347,10.527,10.177,583756.0
2023-11-22,10.287,10.157,10.437,10.157,321101.0
2023-11-23,10.317,10.587,10.597,10.127,733226.0
2023-11-24,10.827,10.617,10.947,10.517,561866.0
2023-11-27,10.587,10.527,10.587,10.287,405579.0
2023-11-28,10.487,10.367,10.517,10.317,190389.0
2023-11-29,10.307,9.967,10.477,9.937,426245.0
2023-11-30,9.937,9.907,9.987,9.757,538384.0
2023-12-01,9.787,9.747,9.877,9.637,424271.0
2023-12-04,9.697,9.457,9.787,9.397,527275.0
2023-12-05,9.427,9.107,9.447,9.087,552685.0
2023-12-06,9.117,9.267,9.357,8.927,434848.0
2023-12-07,9.217,9.217,9.347,9.177,296424.0
2023-12-08,9.207,9.067,9.217,9.017,368334.0
2023-12-11,8.997,8.857,8.997,8.677,643589.0
2023-12-12,9.007,9.287,9.397,8.877,907512.0
2023-12-13,9.107,8.937,9.227,8.887,516853.0
2023-12-14,8.937,8.907,9.087,8.897,265701.0
2023-12-15,9.067,9.117,9.397,8.997,790755.0
2023-12-18,9.087,9.107,9.387,8.947,514458.0
2023-12-19,9.047,8.907,9.137,8.827,338969.0
2023-12-20,8.907,8.767,8.987,8.767,227192.0
2023-12-21,8.707,8.897,8.937,8.677,315775.0
2023-12-22,8.857,8.877,8.937,8.767,250446.0
2023-12-25,8.867,8.847,8.967,8.807,229724.0
2023-12-26,8.817,8.607,8.947,8.587,289557.0
2023-12-27,8.567,8.747,8.797,8.517,314153.0
2023-12-28,8.687,8.987,9.017,8.627,330895.0
2023-12-29,8.977,9.017,9.057,8.847,342418.0
2024-01-02,9.017,8.437,9.017,8.417,1038695.0
2024-01-03,8.417,8.407,8.527,8.347,507537.0
2024-01-04,8.367,8.257,8.387,8.147,650507.0
2024-01-05,8.217,8.157,8.357,8.117,631755.0
2024-01-08,8.197,7.997,8.227,7.947,522827.0
2024-01-09,7.997,8.127,8.227,7.917,488169.0
2024-01-10,8.077,8.127,8.247,8.027,407461.0
2024-01-11,8.107,8.057,8.137,7.947,486728.0
2024-01-12,7.997,8.027,8.167,7.977,403735.0
2024-01-15,8.017,8.117,8.157,7.887,434838.0
2024-01-16,8.067,8.077,8.177,7.957,325801.0
2024-01-17,8.047,7.797,8.057,7.797,394632.0
2024-01-18,7.747,7.887,7.927,7.597,486419.0
2024-01-19,7.857,7.917,8.047,7.837,415144.0
2024-01-22,7.887,7.637,7.967,7.577,493003.0
2024-01-23,7.637,7.637,7.717,7.517,451439.0
2024-01-24,7.677,7.867,7.867,7.597,480089.0
2024-01-25,7.907,8.427,8.467,7.877,910861.0
2024-01-26,8.417,8.647,8.767,8.397,1151382.0
2024-01-29,8.887,8.767,9.037,8.697,1022863.0
2024-01-30,8.767,8.497,8.807,8.467,598228.0
2024-01-31,8.447,8.257,8.607,8.207,584524.0
2024-02-01,8.137,8.137,8.357,8.107,499709.0
2024-02-02,8.147,8.287,8.527,7.947,647048.0
2024-02-05,8.177,7.827,8.217,7.747,707087.0
2024-02-06,7.757,8.277,8.367,7.677,703055.0
2024-02-07,8.237,8.057,8.247,7.907,740524.0
2024-02-08,8.157,8.607,8.607,8.157,870438.0
2024-02-19,8.647,8.447,8.647,8.167,947381.0
2024-02-20,8.467,8.537,8.867,8.427,736524.0
2024-02-21,8.387,8.857,8.987,8.197,864819.0
2024-02-22,8.727,8.777,8.837,8.647,455156.0
2024-02-23,8.757,8.877,8.947,8.727,540486.0
2024-02-26,8.787,8.667,8.837,8.617,441420.0
2024-02-27,8.597,8.847,8.847,8.577,373507.0
2024-02-28,8.857,8.687,9.037,8.687,562557.0
2024-02-29,8.647,8.907,8.937,8.637,487297.0
2024-03-01,8.897,8.767,8.907,8.647,518257.0
2024-03-04,8.687,8.407,8.697,8.317,819274.0
2024-03-05,8.317,8.427,8.467,8.177,673623.0
2024-03-06,8.357,8.217,8.417,8.187,482424.0
2024-03-07,8.227,8.067,8.287,8.067,513777.0
2024-03-08,8.047,7.947,8.107,7.887,478397.0
2024-03-11,7.947,8.217,8.217,7.937,562734.0
2024-03-12,8.357,8.767,8.897,8.227,1228381.0
2024-03-13,8.737,8.607,8.767,8.547,626308.0
2024-03-14,8.617,8.887,9.017,8.597,694463.0
2024-03-15,8.877,8.887,9.157,8.777,540676.0
2024-03-18,8.887,9.007,9.087,8.707,686468.0
2024-03-19,9.157,8.977,9.227,8.967,723958.0
2024-03-20,8.977,8.897,9.077,8.787,486357.0
2024-03-21,8.867,8.967,9.137,8.847,459112.0
2024-03-22,8.927,8.817,8.937,8.767,395101.0
2024-03-25,8.807,9.107,9.327,8.717,751195.0
2024-03-26,9.087,9.407,9.507,9.027,865079.0
2024-03-27,9.397,9.137,9.397,9.047,569877.0
2024-03-28,9.097,9.147,9.257,9.037,493940.0
2024-03-29,9.057,8.937,9.137,8.857,421854.0
2024-04-01,8.887,8.967,9.117,8.867,488493.0
2024-04-02,8.947,8.527,8.947,8.487,882581.0
2024-04-03,8.467,8.537,8.697,8.447,508032.0
2024-04-08,8.497,8.497,8.797,8.467,579167.0
2024-04-09,8.517,8.287,8.527,8.227,472926.0
2024-04-10,8.267,7.877,8.277,7.807,736706.0
2024-04-11,7.777,7.917,8.037,7.697,486912.0
2024-04-12,7.867,7.667,7.977,7.637,434003.0
2024-04-15,7.617,7.757,7.847,7.537,510211.0
2024-04-16,7.667,7.957,8.017,7.557,708241.0
2024-04-17,7.857,7.967,8.037,7.827,562600.0
2024-04-18,7.887,7.837,7.977,7.757,482026.0
2024-04-19,7.757,7.727,7.817,7.657,432717.0
2024-04-22,7.707,7.277,7.777,7.087,1753999.0
2024-04-23,7.257,7.187,7.337,7.157,877621.0
2024-04-24,7.187,7.097,7.207,6.937,863752.0
2024-04-25,7.047,7.197,7.277,7.017,718979.0
2024-04-26,7.177,7.757,7.797,7.117,1540455.0
